DEPTH,Rate Of Penetration,Rotary Torque,Weight on Bit,Flow,Mechanical Specific Energy
6850,88.51,6.915,16.7,37,354.4
6851,62.76,5.96,15.4,32,166
6852,56.92,8.597,16.1,32,178.7
6853,142.7,4.252,13.5,35,101.5
6854,142.87,9.054,13.6,32,44.1
6855,150.81,4.791,12.3,32,22.5
6856,146.69,6.312,18.3,37,22.3
6857,149.44,4.289,5.8,30,14.9
6858,150.83,4.727,4.8,29,5.6
6859,150.66,4.754,10.6,32,11.1
6860,149.55,5.683,12.2,31,20.2
6861,148.26,4.353,12.8,34,21.9
6862,149.66,4.319,9.1,33,13.2
6863,150.61,4.469,2,29,3.1
6864,150.11,4.312,7.4,29,14.2
6865,194.1,5.016,14.5,30,25.6
6866,184.79,6.054,14.3,30,43.3
6867,175.04,4.27,17,31,53.6
6868,188.3,4.967,14.5,30,30.9
6869,185.07,5.166,13.6,30,26.7
6870,23.99,3.484,3.3,24,-999.25
6871,155.08,3.971,9.5,24,26.8
6872,239.98,4.229,11.1,24,17.5
6873,255.35,4.952,15.5,26,28.4
6874,198.13,4.356,16.2,25,30.6
6875,274.57,4.068,9.1,25,17.2
6876,291.98,4.544,20.6,27,13.1
6877,285.71,8.167,12,26,22.7
6878,256.69,8.983,15.7,26,66.8
6879,240.12,4.821,11.5,24,34.5
6880,258.87,7.282,19.1,26,457.4
6881,204.54,4.278,14.5,26,364.8
6882,208.29,4.315,14.7,26,35.8
6883,224.15,5.035,15.5,27,26.3
6884,211.51,4.046,6.3,26,17.4
6885,196.5,6.016,13.1,25,27.1
6886,232.96,4.353,4.5,25,13.4
6887,206.57,4.922,18.1,31,29.3
6888,223.23,4.761,15.6,30,21.5
6889,257.05,4.304,5.9,25,16.2
6890,278.31,4.297,15.8,26,12.7
6891,277.37,4.667,16.6,31,20.7
6892,232.1,4.495,17.9,28,24.7
6893,222.25,5.492,14.8,26,24.4
6894,239.63,4.765,13.1,30,83751.6
6895,107.91,3.753,3.4,25,-999.25
6896,228.87,3.765,1.9,25,43.1
6897,224.34,3.989,9.4,25,43.6
6898,126.55,3.603,2,25,46
6899,115.56,3.652,2.1,25,45.1
6900,120.34,3.723,4.3,25,47.2
6901,141.85,3.671,3.8,25,44.2
6902,137.85,3.783,6.3,25,47
6903,123.14,4.716,7.7,25,54.8
6904,117.75,4.948,5.8,25,48.5
6905,115.98,3.517,3.6,25,47.7
6906,115.64,3.907,2.5,25,48
6907,118.29,4.416,6.5,25,48.3
6908,117.77,3.761,1.5,25,42.7
6909,116.58,3.765,4.9,25,48.4
6910,127.08,3.693,4.2,25,48.8
6911,125.2,3.652,5.5,25,51.8
6912,125.45,3.738,5.1,25,52.5
6913,117.93,3.742,4.5,25,49.8
6914,127.59,3.675,5,25,52.2
6915,126.99,3.956,5.2,25,55.5
6916,141.6,4.188,4.8,25,57.2
6917,148.51,3.941,6.8,25,47.8
6918,153.55,3.731,4.4,25,47.3
6919,158.59,4.255,4.3,25,41.4
